Country,Country code,Continent,Region,MPW Scenario A 2020 (kg y-1),MPW Scenario A 2040 (kg y-1),MPW Scenario A 2060 (kg y-1),MPW Scenario B 2020 (kg y-1),MPW Scenario B 2040 (kg y-1),MPW Scenario B 2060 (kg y-1),MPW Scenario C 2020 (kg y-1),MPW Scenario C 2040 (kg y-1),MPW Scenario C 2060 (kg y-1),,,,
Saint Kitts and Nevis,659,Latin America and Caribbean,Caribbean,3.91E+05,5.60E+05,6.86E+05,1.18E+05,4.56E+04,5.58E+04,1.05E+05,1.05E+04,1.28E+04,,,,
Saint Lucia,662,Latin America and Caribbean,Caribbean,6.15E+06,7.53E+06,8.19E+06,4.82E+06,5.02E+05,5.46E+05,2.17E+06,5.71E+04,6.21E+04,,,,
Saint Vincent and the Grenadines,670,Latin America and Caribbean,Caribbean,1.68E+06,2.16E+06,2.41E+06,1.47E+06,5.18E+05,7.00E+04,1.34E+06,2.28E+05,1.61E+04,,,,
Samoa,882,Oceania,Polynesia,2.19E+06,3.17E+06,4.14E+06,2.11E+06,2.37E+06,1.89E+06,1.92E+06,1.07E+06,8.48E+05,,,,
San Marino,674,Europe,Southern Europe,3.00E+04,3.90E+04,4.48E+04,3.00E+04,3.90E+04,4.48E+04,1.38E+04,8.94E+03,1.03E+04,,,,
Sao Tome and Principe,678,Africa,Middle Africa,2.61E+06,4.86E+06,7.63E+06,2.53E+06,4.02E+06,4.88E+06,2.30E+06,1.82E+06,2.21E+06,,,,
Saudi Arabia,682,Asia,Western Asia,1.59E+07,2.52E+07,3.30E+07,1.59E+07,2.52E+07,3.30E+07,7.95E+06,1.21E+07,1.59E+07,,,,
Senegal,686,Africa,Western Africa,8.52E+07,1.77E+08,3.12E+08,8.29E+07,1.52E+08,2.23E+08,8.20E+07,1.50E+08,2.20E+08,,,,
Serbia,688,Europe,Southern Europe,1.52E+08,1.72E+08,1.78E+08,1.04E+08,8.60E+06,8.90E+06,8.03E+07,1.69E+06,1.75E+06,,,,
Seychelles,690,Africa,Eastern Africa,8.43E+04,2.06E+05,2.97E+05,1.06E+04,2.60E+04,3.74E+04,4.87E+03,5.96E+03,8.56E+03,,,,
